# Frame Index: 256
Hand 0
  Landmark 0: x=510.626768, y=116.087305, z=-636.443930
  Landmark 1: x=458.653227, y=155.965356, z=-657.821233
  Landmark 2: x=420.865200, y=208.717251, z=-654.621067
  Landmark 3: x=410.052518, y=268.099301, z=-660.585201
  Landmark 4: x=410.302271, y=318.150882, z=-671.583845
  Landmark 5: x=492.833636, y=264.824416, z=-650.000001
  Landmark 6: x=497.617741, y=345.296463, z=-660.263970
  Landmark 7: x=501.350357, y=391.842028, z=-661.844436
  Landmark 8: x=507.333516, y=428.257135, z=-666.766547
  Landmark 9: x=536.592890, y=261.155498, z=-650.000000
  Landmark 10: x=553.268332, y=343.379774, z=-653.391359
  Landmark 11: x=568.692975, y=395.546562, z=-657.456031
  Landmark 12: x=583.124471, y=433.621301, z=-662.689777
  Landmark 13: x=573.646771, y=247.097575, z=-650.875617
  Landmark 14: x=597.691412, y=320.605817, z=-652.461155
  Landmark 15: x=616.234204, y=365.339674, z=-652.000000
  Landmark 16: x=634.410195, y=402.124258, z=-658.000000
  Landmark 17: x=604.052345, y=228.246222, z=-656.477854
  Landmark 18: x=643.790331, y=274.551729, z=-662.448109
  Landmark 19: x=668.071014, y=304.422562, z=-664.554532
  Landmark 20: x=686.219796, y=331.852568, z=-667.513746
  Landmark 21: x=510.626768, y=-183.912695, z=-636.443930
Hand 1
  Landmark 0: x=104.054446, y=123.489195, z=-635.545253
  Landmark 1: x=58.402248, y=149.706786, z=-618.940827
  Landmark 2: x=40.833265, y=208.322860, z=-621.798055
  Landmark 3: x=67.964048, y=246.835073, z=-627.382860
  Landmark 4: x=107.831817, y=255.926420, z=-642.866143
  Landmark 5: x=73.791423, y=273.537029, z=-635.008987
  Landmark 6: x=64.741170, y=340.995733, z=-662.389629
  Landmark 7: x=61.832787, y=382.926192, z=-664.726621
  Landmark 8: x=61.402587, y=415.457764, z=-664.725526
  Landmark 9: x=114.651964, y=279.562400, z=-624.008990
  Landmark 10: x=122.202725, y=353.663516, z=-661.821398
  Landmark 11: x=127.617994, y=397.924859, z=-658.637052
  Landmark 12: x=133.736024, y=431.815853, z=-655.663717
  Landmark 13: x=148.415235, y=268.873557, z=-660.738108
  Landmark 14: x=161.546570, y=336.185841, z=-663.639739
  Landmark 15: x=166.608821, y=378.332953, z=-658.435935
  Landmark 16: x=171.457608, y=410.537967, z=-654.567108
  Landmark 17: x=178.563029, y=243.290186, z=-657.748176
  Landmark 18: x=203.000098, y=291.084714, z=-665.891383
  Landmark 19: x=214.821223, y=323.373343, z=-664.554404
  Landmark 20: x=224.370973, y=352.263011, z=-662.782881
  Landmark 21: x=104.054446, y=-176.510805, z=-635.545253
