# Frame Index: 180
Hand 0
  Landmark 0: x=510.685739, y=120.595947, z=-637.597586
  Landmark 1: x=459.380395, y=161.508654, z=-656.713649
  Landmark 2: x=423.451387, y=213.163410, z=-654.778573
  Landmark 3: x=411.525548, y=269.457719, z=-660.239999
  Landmark 4: x=408.564667, y=321.580264, z=-671.456771
  Landmark 5: x=494.254050, y=275.680293, z=-651.349479
  Landmark 6: x=499.451363, y=355.677460, z=-660.647865
  Landmark 7: x=502.721160, y=397.301905, z=-662.133762
  Landmark 8: x=508.485323, y=430.607530, z=-666.358037
  Landmark 9: x=538.214884, y=271.680999, z=-650.273336
  Landmark 10: x=556.555426, y=351.756325, z=-653.973600
  Landmark 11: x=571.354612, y=399.028635, z=-657.660995
  Landmark 12: x=583.431206, y=430.699719, z=-661.741125
  Landmark 13: x=575.760438, y=258.799047, z=-650.677300
  Landmark 14: x=602.085831, y=325.971841, z=-649.466080
  Landmark 15: x=621.086066, y=368.616007, z=-652.152565
  Landmark 16: x=635.697278, y=397.221340, z=-656.747405
  Landmark 17: x=604.514704, y=232.199944, z=-656.448621
  Landmark 18: x=645.149048, y=277.764661, z=-662.456463
  Landmark 19: x=667.432280, y=304.298750, z=-664.497507
  Landmark 20: x=686.198430, y=329.626386, z=-667.111209
  Landmark 21: x=510.012563, y=-180.053796, z=-636.443925
Hand 1
  Landmark 0: x=106.825583, y=118.353697, z=-636.113585
  Landmark 1: x=47.316653, y=146.600723, z=-617.884336
  Landmark 2: x=11.049477, y=197.582325, z=-624.842876
  Landmark 3: x=-10.775129, y=251.099401, z=-625.686384
  Landmark 4: x=-42.774249, y=291.147707, z=-640.637385
  Landmark 5: x=78.719910, y=272.066117, z=-626.478623
  Landmark 6: x=78.788550, y=344.373913, z=-662.319899
  Landmark 7: x=82.171216, y=385.941220, z=-664.811962
  Landmark 8: x=86.968730, y=419.665162, z=-664.692001
  Landmark 9: x=122.373767, y=278.702369, z=-626.387546
  Landmark 10: x=126.039876, y=352.092450, z=-663.300697
  Landmark 11: x=133.078782, y=401.015670, z=-658.375590
  Landmark 12: x=139.709830, y=434.379847, z=-655.475547
  Landmark 13: x=147.288999, y=267.295938, z=-655.108607
  Landmark 14: x=164.950861, y=336.521046, z=-665.238782
  Landmark 15: x=169.665323, y=382.445362, z=-657.790199
  Landmark 16: x=175.029726, y=414.232697, z=-654.095137
  Landmark 17: x=179.624142, y=244.478406, z=-656.303088
  Landmark 18: x=209.485351, y=296.195949, z=-670.338443
  Landmark 19: x=216.590372, y=329.394840, z=-663.119114
  Landmark 20: x=226.870807, y=359.305475, z=-662.723897
  Landmark 21: x=105.345005, y=-176.539481, z=-635.577477
