# Frame Index: 194
Hand 0
  Landmark 0: x=509.374974, y=121.839496, z=-639.000000
  Landmark 1: x=458.599288, y=162.444120, z=-659.000000
  Landmark 2: x=422.663483, y=213.880300, z=-654.000000
  Landmark 3: x=410.426848, y=272.733762, z=-660.000000
  Landmark 4: x=404.703707, y=324.769182, z=-673.000000
  Landmark 5: x=493.323365, y=272.712922, z=-652.000000
  Landmark 6: x=498.339751, y=352.821136, z=-659.000000
  Landmark 7: x=500.889674, y=399.670897, z=-662.000000
  Landmark 8: x=506.478687, y=435.840146, z=-667.000000
  Landmark 9: x=537.557830, y=269.225111, z=-651.000000
  Landmark 10: x=556.292913, y=351.177715, z=-654.000000
  Landmark 11: x=571.243057, y=402.426874, z=-657.000000
  Landmark 12: x=585.838456, y=439.491996, z=-663.000000
  Landmark 13: x=575.107635, y=254.657379, z=-652.000000
  Landmark 14: x=598.697960, y=326.499988, z=-653.000000
  Landmark 15: x=619.818488, y=371.401429, z=-657.000000
  Landmark 16: x=637.901963, y=407.753195, z=-663.000000
  Landmark 17: x=603.282171, y=233.882602, z=-656.000000
  Landmark 18: x=643.342631, y=278.976572, z=-661.000000
  Landmark 19: x=670.243776, y=308.924619, z=-665.000000
  Landmark 20: x=690.075652, y=335.551458, z=-669.000000
Hand 1
  Landmark 0: x=111.297071, y=125.863059, z=-637.000000
  Landmark 1: x=65.837846, y=158.702809, z=-617.000000
  Landmark 2: x=62.048875, y=218.401055, z=-619.000000
  Landmark 3: x=109.845705, y=248.063449, z=-626.000000
  Landmark 4: x=156.743011, y=238.358792, z=-643.000000
  Landmark 5: x=84.579292, y=280.480087, z=-649.000000
  Landmark 6: x=89.127843, y=348.687949, z=-661.000000
  Landmark 7: x=96.988977, y=390.109637, z=-666.000000
  Landmark 8: x=106.723277, y=422.191465, z=-666.000000
  Landmark 9: x=121.661940, y=281.174000, z=-646.000000
  Landmark 10: x=128.640342, y=354.424868, z=-662.000000
  Landmark 11: x=134.675412, y=400.106061, z=-660.000000
  Landmark 12: x=140.478466, y=434.111061, z=-658.000000
  Landmark 13: x=154.401819, y=269.205087, z=-659.000000
  Landmark 14: x=165.532023, y=336.174434, z=-664.000000
  Landmark 15: x=169.448221, y=379.433829, z=-663.000000
  Landmark 16: x=172.312051, y=411.116048, z=-662.000000
  Landmark 17: x=184.231405, y=244.939345, z=-659.000000
  Landmark 18: x=206.399823, y=292.004046, z=-667.000000
  Landmark 19: x=215.842864, y=324.550901, z=-668.000000
  Landmark 20: x=223.187451, y=351.848263, z=-668.000000
