# Frame Index: 276
Hand 0
  Landmark 0: x=510.230116, y=113.270161, z=-640.031164
  Landmark 1: x=459.509666, y=159.878775, z=-660.157334
  Landmark 2: x=422.057815, y=211.346154, z=-658.973939
  Landmark 3: x=411.038755, y=268.977898, z=-662.639184
  Landmark 4: x=409.539052, y=319.575664, z=-674.572820
  Landmark 5: x=492.052570, y=264.724166, z=-651.579286
  Landmark 6: x=495.810061, y=346.677256, z=-659.329950
  Landmark 7: x=500.463634, y=392.575198, z=-662.384368
  Landmark 8: x=507.910961, y=429.099043, z=-668.132545
  Landmark 9: x=535.976809, y=261.374593, z=-649.387838
  Landmark 10: x=554.380307, y=345.064299, z=-652.874110
  Landmark 11: x=570.851176, y=396.649488, z=-657.912732
  Landmark 12: x=586.021560, y=434.573449, z=-664.047517
  Landmark 13: x=573.205841, y=247.848603, z=-651.099487
  Landmark 14: x=599.484172, y=321.573591, z=-653.727353
  Landmark 15: x=616.665999, y=365.445174, z=-657.360122
  Landmark 16: x=634.054182, y=401.686609, z=-664.672559
  Landmark 17: x=603.518566, y=230.478362, z=-658.241836
  Landmark 18: x=644.191406, y=277.239006, z=-663.343347
  Landmark 19: x=668.934853, y=306.432310, z=-665.956534
  Landmark 20: x=688.689884, y=332.756557, z=-668.630726
  Landmark 21: x=510.230116, y=-186.729839, z=-640.031164
Hand 1
  Landmark 0: x=103.990249, y=117.598938, z=-639.065403
  Landmark 1: x=51.583222, y=150.658202, z=-622.402601
  Landmark 2: x=12.542227, y=205.328242, z=-630.262139
  Landmark 3: x=-6.435792, y=252.991455, z=-635.791386
  Landmark 4: x=-29.885764, y=284.876570, z=-652.478948
  Landmark 5: x=76.064676, y=276.731530, z=-652.538009
  Landmark 6: x=64.812295, y=344.543527, z=-661.789103
  Landmark 7: x=61.791826, y=385.295122, z=-665.859235
  Landmark 8: x=60.567045, y=417.278758, z=-666.608358
  Landmark 9: x=116.665419, y=281.140263, z=-661.820582
  Landmark 10: x=123.646879, y=356.168966, z=-662.497367
  Landmark 11: x=130.264304, y=400.169600, z=-660.952645
  Landmark 12: x=136.716917, y=433.973917, z=-660.346645
  Landmark 13: x=150.776070, y=270.069927, z=-661.481203
  Landmark 14: x=163.483943, y=338.028878, z=-664.322234
  Landmark 15: x=168.645669, y=379.570553, z=-662.995791
  Landmark 16: x=172.464346, y=411.446831, z=-661.606859
  Landmark 17: x=181.056689, y=244.806235, z=-660.066212
  Landmark 18: x=204.477569, y=292.461605, z=-667.208763
  Landmark 19: x=216.574431, y=324.406133, z=-668.180552
  Landmark 20: x=225.881283, y=353.669447, z=-669.691890
  Landmark 21: x=103.990249, y=-182.401062, z=-639.065403
