# Frame Index: 302
Hand 0
  Landmark 0: x=508.157237, y=112.962708, z=-641.000000
  Landmark 1: x=457.216161, y=158.841377, z=-660.000000
  Landmark 2: x=419.952903, y=210.388369, z=-659.000000
  Landmark 3: x=409.580920, y=268.571888, z=-664.000000
  Landmark 4: x=407.884372, y=316.872741, z=-675.000000
  Landmark 5: x=490.251078, y=265.539663, z=-652.000000
  Landmark 6: x=493.444329, y=346.072039, z=-659.000000
  Landmark 7: x=499.563558, y=391.938309, z=-663.000000
  Landmark 8: x=506.478687, y=427.440958, z=-668.000000
  Landmark 9: x=535.512780, y=262.062854, z=-651.000000
  Landmark 10: x=552.542976, y=344.973801, z=-653.000000
  Landmark 11: x=568.311008, y=394.587015, z=-657.000000
  Landmark 12: x=584.795512, y=432.186713, z=-664.000000
  Landmark 13: x=571.154632, y=248.118891, z=-652.000000
  Landmark 14: x=596.646627, y=321.368373, z=-654.000000
  Landmark 15: x=613.716769, y=365.673940, z=-657.000000
  Landmark 16: x=631.727992, y=400.878362, z=-664.000000
  Landmark 17: x=602.128832, y=231.103433, z=-659.000000
  Landmark 18: x=642.231701, y=277.313906, z=-663.000000
  Landmark 19: x=667.105520, y=305.784354, z=-666.000000
  Landmark 20: x=686.923260, y=332.397047, z=-669.000000
Hand 1
  Landmark 0: x=101.244599, y=113.792370, z=-640.000000
  Landmark 1: x=60.101208, y=153.112454, z=-620.000000
  Landmark 2: x=54.345722, y=215.825230, z=-621.000000
  Landmark 3: x=100.172896, y=247.474258, z=-627.000000
  Landmark 4: x=146.050373, y=242.037954, z=-647.000000
  Landmark 5: x=71.975772, y=272.478144, z=-648.000000
  Landmark 6: x=66.252186, y=340.364202, z=-662.000000
  Landmark 7: x=67.698586, y=380.674695, z=-666.000000
  Landmark 8: x=69.685966, y=411.933928, z=-665.000000
  Landmark 9: x=111.847981, y=276.026668, z=-655.000000
  Landmark 10: x=118.420930, y=350.256708, z=-663.000000
  Landmark 11: x=124.952108, y=394.752440, z=-660.000000
  Landmark 12: x=130.963618, y=429.315593, z=-658.000000
  Landmark 13: x=144.838280, y=263.611193, z=-659.000000
  Landmark 14: x=159.274359, y=329.912764, z=-664.000000
  Landmark 15: x=165.282728, y=374.788068, z=-664.000000
  Landmark 16: x=169.703799, y=408.183644, z=-664.000000
  Landmark 17: x=176.706633, y=239.389459, z=-659.000000
  Landmark 18: x=200.852560, y=286.325280, z=-667.000000
  Landmark 19: x=213.744410, y=318.823412, z=-668.000000
  Landmark 20: x=222.470767, y=349.742575, z=-670.000000
